Name,Professional Suffixes,Primary Specialty,WCM Find A Doctor URL,Accepting New Patients,Video Visits Avaliable,Languages,Zip Code,Country_ISO3166_alpha2,Latitude,Longitude,Accepted Insurance,Address
Meira  Abramowitz,M.D.,Gastroenterology,https://weillcornell.org/mabramowitz,Yes,Yes,English,10038,US,40.7101,-74.005941,"AETNA HMO,AETNA Medicare,AETNA PPO,Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Aetna Weill Cornell Employee PPO Plan ,Affinity Access ,Affinity Health Plan ,AgeWell New York ,Amida Care ,CIGNA ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield EPO,Empire Blue Cross/Blue Shield HMO,Empire Blue Cross/Blue Shield Mediblue (Senior),Empire Blue Cross/Blue Shield PPO,Empire Blue Cross/Blue Shield HealthPlus ,Empire Blue Cross/Blue Shield HealthPlus CHP,Fidelis Care ,GHI CBP,Health First ,Health Insurance Plan of NY (HIP) ,Health Insurance Plan of NY (HIP) Medicaid,Health Insurance Plan of NY (HIP) Medicare,Medicaid ,Medicare ,Oxford Health Plans Freedom,Oxford Health Plans Liberty,Oxford Health Plans Medicare Advantage,Oxford Health Plans Metro/Core/Charter,Rockefeller University - Trustmark ,United Empire ,United Healthcare ,United Healthcare Community Plan,United Healthcare Medicare,United Healthcare Compass ,VNSNY CHOICE HMO,VNSNY CHOICE Medicare,WellCare of NY ,WorldWide Medical ""","156 William Street New York, NY 10038"
Robert C. Abrams,M.D.,Psychiatry,https://weillcornell.org/rcabrams,No,N/A,English,10065,US,40.7649,-73.9569,"AETNA HMO,AETNA Medicare,AETNA PPO,Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Affinity Access ,Affinity Health Plan ,AgeWell New York ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield EPO,Empire Blue Cross/Blue Shield HMO,Empire Blue Cross/Blue Shield Mediblue (Senior),Empire Blue Cross/Blue Shield PPO,Empire Blue Cross/Blue Shield HealthPlus ,Empire Blue Cross/Blue Shield HealthPlus CHP,Fidelis Care ,Health First ,Medicaid ,Medicare ,United Empire ,VNSNY CHOICE HMO,VNSNY CHOICE Medicare,WellCare of NY ""","525 East 68th Street New York, NY 10065"
Erika  Abramson,"M.D., MSc",Pediatric Hospitalist,https://weillcornell.org/erabramson,No,No,English,10065,US,40.7649,-73.9569,"Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Affinity Access ,Amida Care ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield HealthPlus CHP,Fidelis Care ,GHI CBP,Medicaid ,Medicare ,Oxford Health Plans Metro/Core/Charter,United Healthcare Compass ,VNSNY CHOICE HMO,WellCare of NY ,WorldWide Medical ""","525 East 68th Street New York, NY 10065"
Erika  Abramson,"M.D., MSc",Pediatric Hospitalist,https://weillcornell.org/erabramson,No,No,English,10021,US,40.7659,-73.9567,"Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Affinity Access ,Amida Care ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield HealthPlus CHP,Fidelis Care ,GHI CBP,Medicaid ,Medicare ,Oxford Health Plans Metro/Core/Charter,United Healthcare Compass ,VNSNY CHOICE HMO,WellCare of NY ,WorldWide Medical ""","505 East 70th Street New York, NY 10021"
Ghaith  Abu-Zeinah,M.D.,Hematology/Oncology,https://weillcornell.org/ghaith-abu-zeinah-md,Yes,N/A,"Englsih, Arabic",10021,US,40.7659,-73.9567,"AETNA HMO,AETNA Medicare,AETNA PPO,Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Aetna Weill Cornell Employee PPO Plan ,Affinity Access ,Affinity Health Plan ,AgeWell New York ,Amida Care ,CIGNA ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield EPO,Empire Blue Cross/Blue Shield HMO,Empire Blue Cross/Blue Shield Mediblue (Senior),Empire Blue Cross/Blue Shield PPO,Empire Blue Cross/Blue Shield HealthPlus ,Empire Blue Cross/Blue Shield HealthPlus CHP,Fidelis Care ,GHI CBP,Health First ,Health Insurance Plan of NY (HIP) ,Health Insurance Plan of NY (HIP) Medicaid,Health Insurance Plan of NY (HIP) Medicare,Medicaid ,Medicare ,Oxford Health Plans Freedom,Oxford Health Plans Liberty,Oxford Health Plans Medicare Advantage,Oxford Health Plans Metro/Core/Charter,Rockefeller University - Trustmark ,United Empire ,United Healthcare ,United Healthcare Community Plan,United Healthcare Medicare,United Healthcare Compass ,VNSNY CHOICE HMO,VNSNY CHOICE Medicare,WellCare of NY ,WorldWide Medical ""","520 East 70th Street New York, NY 10021"
Gloria  Acety,M.D.,Hospital Medicine,https://weillcornell.org/gacety,No,N/A,English,10038,US,40.7101,-74.007954,"AETNA HMO,AETNA Medicare,AETNA PPO,Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Aetna Weill Cornell Employee PPO Plan ,Affinity Access ,Affinity Health Plan ,Amida Care ,CIGNA ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield EPO,Empire Blue Cross/Blue Shield HMO,Empire Blue Cross/Blue Shield Mediblue (Senior),Empire Blue Cross/Blue Shield PPO,Empire Blue Cross/Blue Shield HealthPlus ,Empire Blue Cross/Blue Shield HealthPlus CHP,Fidelis Care ,GHI CBP,Health First ,Health Insurance Plan of NY (HIP) ,Health Insurance Plan of NY (HIP) Medicaid,Health Insurance Plan of NY (HIP) Medicare,Medicaid ,Medicare ,Oxford Health Plans Freedom,Oxford Health Plans Liberty,Oxford Health Plans Medicare Advantage,Oxford Health Plans Metro/Core/Charter,Rockefeller University - Trustmark ,United Healthcare ,United Healthcare Community Plan,United Healthcare Medicare,United Healthcare Compass ,VNSNY CHOICE HMO,VNSNY CHOICE Medicare,WellCare of NY ,WorldWide Medical ""","170 William Street New York, NY 10038"
Niraj N. Acharya,,N/A,https://weillcornell.org/niraj-n-acharyamb-bs-md-7233,No,N/A,English,11432,US,40.7049,-73.8089,No insurance information,"152-11 89th Avenue Jamaica, NY 11432"
Lauren A. Acinapura,M.D.,Internal Medicine,https://weillcornell.org/laacinapura,Yes,Yes,English,10021,US,40.7685,-73.9527,"Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Affinity Access ,Amida Care ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield HealthPlus CHP,GHI CBP,Medicaid ,Medicare ,Oxford Health Plans Metro/Core/Charter,United Healthcare Community Plan,United Healthcare Compass ,VNSNY CHOICE HMO,VNSNY CHOICE Medicare,WellCare of NY ,WorldWide Medical ""","1321 York Avenue New York, NY 10021"
Karen P. Acker,,Pediatric Infectious Diseases,https://weillcornell.org/karen-p-acker-md,Yes,No,English,10021,US,40.7659,-73.9567,"AETNA HMO,AETNA PPO,Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Aetna Weill Cornell Employee PPO Plan ,Affinity Access ,Affinity Health Plan ,Amida Care ,CIGNA ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield EPO,Empire Blue Cross/Blue Shield HMO,Empire Blue Cross/Blue Shield Mediblue (Senior),Empire Blue Cross/Blue Shield PPO,Empire Blue Cross/Blue Shield HealthPlus ,Empire Blue Cross/Blue Shield HealthPlus CHP,Fidelis Care ,GHI CBP,Health First ,Health Insurance Plan of NY (HIP) ,Health Insurance Plan of NY (HIP) Medicaid,Medicaid ,Medicare ,Oxford Health Plans Freedom,Oxford Health Plans Liberty,Oxford Health Plans Metro/Core/Charter,Rockefeller University - Trustmark ,United Empire ,United Healthcare ,United Healthcare Community Plan,United Healthcare Compass ,VNSNY CHOICE HMO,WellCare of NY ,WorldWide Medical ""","505 East 70th Street New York, NY 10021"
Alberto Miguel Acosta,"M.D., Ph.D.",N/A,https://weillcornell.org/alberto-miguel-acostamd-phd-5717,No,N/A,English,10022,US,40.7625,-73.9734,No insurance information,"595 Madison Avenue New York, NY 10022"
Alexa B. Adams,M.D.,Pediatric Rheumatology,https://weillcornell.org/abadams,No,N/A,English,10021,US,40.7659,-73.9567,No insurance information,"535 East 70th Street New York, NY 10021"
Talat  Addasi,,Surgery,https://weillcornell.org/talat-addasi-mb-chb,Yes,N/A,English,11355,US,40.7532,-73.8195,No insurance information,"56-45 Main Street Flushing, NY 11355"
Ronald D. Adelman,M.D.,Geriatric Medicine,https://weillcornell.org/rdadelman,No,No,English,10065,US,40.7649,-73.9569,"Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Affinity Access ,AgeWell New York ,Amida Care ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield HealthPlus CHP,GHI CBP,Health First ,Medicaid ,Medicare ,Oxford Health Plans Medicare Advantage,Oxford Health Plans Metro/Core/Charter,United Healthcare Community Plan,United Healthcare Compass ,VNSNY CHOICE HMO,VNSNY CHOICE Medicare,WellCare of NY ,WorldWide Medical ""","525 East 68th Street New York, NY 10065"
Stewart Lawrence Adelson,M.D.,N/A,https://weillcornell.org/stewart-lawrence-adelsonmd-6663,No,N/A,English,10011,US,40.7392,-73.9947,No insurance information,"117 West 17th Street New York, NY 10011"
Brandon  Aden,"M.D., M.P.H",Internal Medicine,https://weillcornell.org/baden,No,No,English,10065,US,40.7669,-73.9597,"AETNA HMO,AETNA PPO,Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Aetna Weill Cornell Employee PPO Plan ,Empire Blue Cross/Blue Shield EPO,Empire Blue Cross/Blue Shield HMO,Empire Blue Cross/Blue Shield PPO,Rockefeller University - Trustmark ""","402 E 67th Street New York, NY 10065"
Cheguevara  Afaneh,"M.D., FACS",Bariatric Surgery,https://weillcornell.org/cafaneh,Yes,N/A,"English, Arabic, Spanish",10021,US,40.7659,-73.9567,"AETNA HMO,AETNA Medicare,AETNA PPO,Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Aetna Weill Cornell Employee PPO Plan ,Affinity Access ,Affinity Health Plan ,AgeWell New York ,Amida Care ,CIGNA ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield EPO,Empire Blue Cross/Blue Shield HMO,Empire Blue Cross/Blue Shield Mediblue (Senior),Empire Blue Cross/Blue Shield PPO,Fidelis Care ,GHI CBP,Health First ,Health Insurance Plan of NY (HIP) ,Health Insurance Plan of NY (HIP) Medicaid,Health Insurance Plan of NY (HIP) Medicare,Medicare ,Oxford Health Plans Freedom,Oxford Health Plans Liberty,Oxford Health Plans Medicare Advantage,Oxford Health Plans Metro/Core/Charter,Rockefeller University - Trustmark ,United Empire ,United Healthcare ,United Healthcare Community Plan,United Healthcare Medicare,United Healthcare Compass ,VNSNY CHOICE HMO,VNSNY CHOICE Medicare,WellCare of NY ,WorldWide Medical ""","520 East 70th Street New York, NY 10021"
Cheguevara  Afaneh,"M.D., FACS",Bariatric Surgery,https://weillcornell.org/cafaneh,Yes,N/A,"English, Arabic, Spanish",10021,US,40.7659,-73.9567,"AETNA HMO,AETNA Medicare,AETNA PPO,Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Aetna Weill Cornell Employee PPO Plan ,Affinity Access ,Affinity Health Plan ,AgeWell New York ,Amida Care ,CIGNA ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield EPO,Empire Blue Cross/Blue Shield HMO,Empire Blue Cross/Blue Shield Mediblue (Senior),Empire Blue Cross/Blue Shield PPO,Fidelis Care ,GHI CBP,Health First ,Health Insurance Plan of NY (HIP) ,Health Insurance Plan of NY (HIP) Medicaid,Health Insurance Plan of NY (HIP) Medicare,Medicare ,Oxford Health Plans Freedom,Oxford Health Plans Liberty,Oxford Health Plans Medicare Advantage,Oxford Health Plans Metro/Core/Charter,Rockefeller University - Trustmark ,United Empire ,United Healthcare ,United Healthcare Community Plan,United Healthcare Medicare,United Healthcare Compass ,VNSNY CHOICE HMO,VNSNY CHOICE Medicare,WellCare of NY ,WorldWide Medical ""","520 East 70th Street New York, NY 10021"
Smita  Agarkar,"M.B., B.S.",N/A,https://weillcornell.org/smita-agarkarmb-bs-7124,No,N/A,English,10605,US,41.0228,-73.7587,No insurance information,"21 Bloomingdale Road White Plains, NY 10605"
Smita  Agarkar,"M.B., B.S.",N/A,https://weillcornell.org/smita-agarkarmb-bs-7124,No,N/A,English,10605,US,41.0228,-73.7587,No insurance information,"21 Bloomingdale Road White Plains, NY 10605"
Matthew Allan Agee,,Diagnostic Radiology,https://weillcornell.org/matthew-agee-md,No,N/A,English,10065,US,40.7649,-73.9569,No insurance information,"525 East 68th Street New York, NY 10065"
Christopher  Agrusa,"MD, FACS, RPVI",Vascular Surgery,https://weillcornell.org/christopher-agrusa-md,Yes,N/A,English,10065,US,40.7649,-73.9569,"AETNA HMO,AETNA Medicare,AETNA PPO,Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Aetna Weill Cornell Employee PPO Plan ,Affinity Access ,Affinity Health Plan ,AgeWell New York ,Amida Care ,CIGNA ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield EPO,Empire Blue Cross/Blue Shield HMO,Empire Blue Cross/Blue Shield Mediblue (Senior),Empire Blue Cross/Blue Shield PPO,Empire Blue Cross/Blue Shield HealthPlus ,Empire Blue Cross/Blue Shield HealthPlus CHP,Fidelis Care ,GHI CBP,Health First ,Health Insurance Plan of NY (HIP) ,Health Insurance Plan of NY (HIP) Medicaid,Health Insurance Plan of NY (HIP) Medicare,Medicaid ,Medicare ,Oxford Health Plans Freedom,Oxford Health Plans Liberty,Oxford Health Plans Medicare Advantage,Oxford Health Plans Metro/Core/Charter,Rockefeller University - Trustmark ,United Empire ,United Healthcare ,United Healthcare Community Plan,United Healthcare Medicare,United Healthcare Compass ,VNSNY CHOICE HMO,VNSNY CHOICE Medicare,WellCare of NY ,WorldWide Medical ""","525 East 68th Street New York, NY 10065"
Surriya  Ahmad,M.D.,Emergency Medicine,https://weillcornell.org/surriya-ahmad-md,No,N/A,English,10065,US,40.7649,-73.9569,No insurance information,"525 East 68th Street New York, NY 10065"
Surriya  Ahmad,M.D.,Emergency Medicine,https://weillcornell.org/surriya-ahmad-md,No,N/A,English,10038,US,40.7101,-74.007954,No insurance information,"170 William Street New York, NY 10038"
Abdul-Aziz  Ahmed,M.D.,Emergency Medicine,https://weillcornell.org/abdul-aziz-ahmed-md,Yes,N/A,English,10021,US,40.7659,-73.9567,"AETNA HMO,AETNA Medicare,AETNA PPO,Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Aetna Weill Cornell Employee PPO Plan ,Affinity Access ,Affinity Health Plan ,AgeWell New York ,Amida Care ,CIGNA ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield EPO,Empire Blue Cross/Blue Shield HMO,Empire Blue Cross/Blue Shield Mediblue (Senior),Empire Blue Cross/Blue Shield PPO,Empire Blue Cross/Blue Shield HealthPlus ,Empire Blue Cross/Blue Shield HealthPlus CHP,Fidelis Care ,GHI CBP,Health First ,Health Insurance Plan of NY (HIP) ,Health Insurance Plan of NY (HIP) Medicaid,Health Insurance Plan of NY (HIP) Medicare,Medicaid ,Medicare ,Oxford Health Plans Freedom,Oxford Health Plans Liberty,Oxford Health Plans Medicare Advantage,Oxford Health Plans Metro/Core/Charter,Rockefeller University - Trustmark ,United Empire ,United Healthcare ,United Healthcare Community Plan,United Healthcare Medicare,United Healthcare Compass ,VNSNY CHOICE HMO,VNSNY CHOICE Medicare,WellCare of NY ,WorldWide Medical ""","520 East 70th Street New York, NY 10021"
Abdul-Aziz  Ahmed,M.D.,Emergency Medicine,https://weillcornell.org/abdul-aziz-ahmed-md,Yes,N/A,English,10038,US,40.7101,-74.007954,"AETNA HMO,AETNA Medicare,AETNA PPO,Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Aetna Weill Cornell Employee PPO Plan ,Affinity Access ,Affinity Health Plan ,AgeWell New York ,Amida Care ,CIGNA ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield EPO,Empire Blue Cross/Blue Shield HMO,Empire Blue Cross/Blue Shield Mediblue (Senior),Empire Blue Cross/Blue Shield PPO,Empire Blue Cross/Blue Shield HealthPlus ,Empire Blue Cross/Blue Shield HealthPlus CHP,Fidelis Care ,GHI CBP,Health First ,Health Insurance Plan of NY (HIP) ,Health Insurance Plan of NY (HIP) Medicaid,Health Insurance Plan of NY (HIP) Medicare,Medicaid ,Medicare ,Oxford Health Plans Freedom,Oxford Health Plans Liberty,Oxford Health Plans Medicare Advantage,Oxford Health Plans Metro/Core/Charter,Rockefeller University - Trustmark ,United Empire ,United Healthcare ,United Healthcare Community Plan,United Healthcare Medicare,United Healthcare Compass ,VNSNY CHOICE HMO,VNSNY CHOICE Medicare,WellCare of NY ,WorldWide Medical ""","170 William Street New York, NY 10038"
Anthony O. Ahmed,,Psychiatry,https://weillcornell.org/anthony-o-ahmed-phd,Yes,N/A,English,10605,US,41.0228,-73.7587,"Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Aetna Weill Cornell Employee PPO Plan ,Medicare ,Rockefeller University - Trustmark ""","21 Bloomingdale Road White Plains, NY 10605"
Khaja Yousuf Ahmed,,N/A,https://weillcornell.org/khaja-yousuf-ahmeddo-8226,No,N/A,English,11215,US,40.6689,-73.9819,No insurance information,"506 6th Street Brooklyn, NY 11215"
Shakil  Ahmed,"M.B., B.S.",Pain Medicine/Management,https://weillcornell.org/shakilahmed,Yes,Yes,English,10024,US,40.7831,-73.977961,"Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Aetna Weill Cornell Employee PPO Plan ,Affinity Access ,AgeWell New York ,Amida Care ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield HealthPlus CHP,Medicaid ,Medicare ,Oxford Health Plans Metro/Core/Charter,United Healthcare Compass ,VNSNY CHOICE HMO,VNSNY CHOICE Medicare,WellCare of NY ,WorldWide Medical ""","2315 Broadway New York, NY 10024"
